typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,query_label,target_iso,target_flow
C,A,20190101,2019,52,2019,31,AZE,Azerbaijan,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,970054000.0,False,8,kg,970054000.0,False,970054000.0,False,0.0,False,,417087026.89,417087026.89,0,False,True,mirror_TUR_target_M_2019,TUR,M
C,A,20190101,2019,52,2019,398,KAZ,Kazakhstan,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3356770000.0,False,8,kg,3356770000.0,False,3356770000.0,False,0.0,False,,1558281169.21,1558281169.21,0,False,True,mirror_TUR_target_M_2019,TUR,M
C,A,20190101,2019,52,2019,434,LBY,Libya,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,99341400.0,False,21,1000 KG,99341.4,False,99341400.0,False,0.0,False,0.0,43834771.622,43834771.622,0,False,True,mirror_TUR_target_M_2019,TUR,M
C,A,20190101,2019,52,2019,528,NLD,Netherlands,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,8,kg,3.0,False,3.0,False,0.0,False,,1.119,1.119,0,False,True,mirror_TUR_target_M_2019,TUR,M
C,A,20190101,2019,52,2019,566,NGA,Nigeria,X,Export,792,TUR,Türkiye,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,True,-1,,0.0,False,,True,0.0,False,,779096251.2,779096251.2,6,False,True,mirror_TUR_target_M_2019,TUR,M
C,A,20190101,2019,52,2019,579,NOR,Norway,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,232585000.0,False,19,BBL,1661010.0,False,232585000.0,False,0.0,False,,114763300.069,114763300.069,0,False,True,mirror_TUR_target_M_2019,TUR,M
C,A,20190101,2019,52,2019,643,RUS,Russian Federation,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8155091000.0,False,8,kg,8155091000.0,False,8155091000.0,False,0.0,False,,3681710888.35,3681710888.35,0,False,True,mirror_TUR_target_M_2019,TUR,M
C,A,20200101,2020,52,2020,24,AGO,Angola,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,158298651.0,False,19,BBL,995589.0,False,158298651.0,False,0.0,False,44321631.102,44321631.102,44321631.102,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,31,AZE,Azerbaijan,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,675400000.0,False,8,kg,675400000.0,False,675400000.0,False,0.0,False,,225150801.8,225150801.8,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,300,GRC,Greece,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29871400.0,False,8,kg,29871400.0,False,29871400.0,False,0.0,False,0.0,7634136.524,7634136.524,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,398,KAZ,Kazakhstan,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3473162000.0,False,8,kg,3473162000.0,False,3473162000.0,False,0.0,False,,1243808594.97,1243808594.97,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,528,NLD,Netherlands,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,8,kg,3.0,False,3.0,False,0.0,False,0.0,1.142,1.142,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,792,TUR,Türkiye,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2518145000.0,False,8,kg,2518145000.0,False,2518145000.0,False,0.0,False,0.0,823716859.434,823716859.434,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,579,NOR,Norway,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2647833000.0,False,19,BBL,18945163.0,False,2647833000.0,False,0.0,False,0.0,741025163.156,741025163.156,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,643,RUS,Russian Federation,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2645633800.0,False,8,kg,2645633800.0,False,2645633800.0,False,0.0,False,0.0,896870201.71,896870201.71,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,788,TUN,Tunisia,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75905900.0,False,8,kg,75905900.0,False,75905900.0,False,0.0,False,0.0,31119138.1,31119138.1,0,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20200101,2020,52,2020,818,EGY,Egypt,X,Export,792,TUR,Türkiye,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,125816729.021,True,-1,,0.0,False,125816729.021,True,0.0,False,,38155109.487,38155109.487,6,False,True,mirror_TUR_target_M_2020,TUR,M
C,A,20210101,2021,52,2021,31,AZE,Azerbaijan,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,690645000.0,False,8,kg,690645000.0,False,690645000.0,False,0.0,False,,331599284.56,331599284.56,0,False,True,mirror_TUR_target_M_2021,TUR,M
C,A,20210101,2021,52,2021,191,HRV,Croatia,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.0,False,8,kg,25.0,False,25.0,False,0.0,False,0.0,30.0,30.0,0,False,True,mirror_TUR_target_M_2021,TUR,M
C,A,20210101,2021,52,2021,266,GAB,Gabon,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,19,BBL,5.0,False,5.0,False,0.0,False,,17.991,17.991,0,False,True,mirror_TUR_target_M_2021,TUR,M
C,A,20210101,2021,52,2021,300,GRC,Greece,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,56132500.0,False,8,kg,56132500.0,False,56132500.0,False,0.0,False,0.0,24030116.903,24030116.903,0,False,True,mirror_TUR_target_M_2021,TUR,M
C,A,20210101,2021,52,2021,380,ITA,Italy,X,Export,792,TUR,Türkiye,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,171213000.0,False,8,kg,171213000.0,False,171213000.0,False,0.0,False,,64696226.124,64696226.124,0,False,True,mirror_TUR_target_M_2021,TUR,M
